"quick find, microset", "worst_case 0.250", 4, 6.0066580772e-09
"union find, microset", "worst_case 0.250", 4, 6.0260295868e-09
"successor, 2-pass, microset", "worst_case 0.250", 4, 6.0379505157e-09
"successor, recursive", "worst_case 0.500", 4, 7.2419643402e-09
"successor, 2-pass", "worst_case 0.500", 4, 6.8932771683e-09
"successor, 2-pass, checked", "worst_case 0.500", 4, 7.4058771133e-09
"successor, halving", "worst_case 0.500", 4, 5.9053301811e-09
"quick find", "worst_case 0.500", 4, 8.0406665802e-09
"union find", "worst_case 0.500", 4, 9.7960233688e-09
"quick find, microset", "worst_case 0.500", 4, 6.8098306656e-09
"union find, microset", "worst_case 0.500", 4, 6.7114830017e-09
"successor, 2-pass, microset", "worst_case 0.500", 4, 6.5892934799e-09
"successor, recursive", "worst_case 1.000", 4, 9.7274780273e-09
"successor, 2-pass", "worst_case 1.000", 4, 9.0062618256e-09
"successor, 2-pass, checked", "worst_case 1.000", 4, 9.5546245575e-09
"successor, halving", "worst_case 1.000", 4, 6.7710876465e-09
"quick find", "worst_case 1.000", 4, 8.7261199951e-09
"union find", "worst_case 1.000", 4, 1.0848045349e-08
"quick find, microset", "worst_case 1.000", 4, 8.3118677139e-09
"union find, microset", "worst_case 1.000", 4, 8.2433223724e-09
"successor, 2-pass, microset", "worst_case 1.000", 4, 8.2194805145e-09
"successor, recursive", "worst_case 2.000", 4, 1.3148784637e-08
"successor, 2-pass", "worst_case 2.000", 4, 1.2636184692e-08
"successor, 2-pass, checked", "worst_case 2.000", 4, 1.2993812561e-08
"successor, halving", "worst_case 2.000", 4, 9.4354152679e-09
"quick find", "worst_case 2.000", 4, 1.0740756989e-08
"union find", "worst_case 2.000", 4, 1.4543533325e-08
"quick find, microset", "worst_case 2.000", 4, 1.0403990746e-08
"union find, microset", "worst_case 2.000", 4, 1.0028481483e-08
"successor, 2-pass, microset", "worst_case 2.000", 4, 1.0150671005e-08
"successor, recursive", "worst_case 4.000", 4, 1.9854307175e-08
"successor, 2-pass", "worst_case 4.000", 4, 1.9156932831e-08
"successor, 2-pass, checked", "worst_case 4.000", 4, 1.9848346710e-08
"successor, halving", "worst_case 4.000", 4, 1.4120340347e-08
"quick find", "worst_case 4.000", 4, 1.4698505402e-08
"union find", "worst_case 4.000", 4, 2.1189451218e-08
"quick find, microset", "worst_case 4.000", 4, 1.8936395645e-08
"union find, microset", "worst_case 4.000", 4, 1.9204616547e-08
"successor, 2-pass, microset", "worst_case 4.000", 4, 1.9156932831e-08
"successor, recursive", "worst_case 8.000", 4, 3.6704540253e-08
"successor, 2-pass", "worst_case 8.000", 4, 3.1948089600e-08
"successor, 2-pass, checked", "worst_case 8.000", 4, 3.1876564026e-08
"successor, halving", "worst_case 8.000", 4, 2.3686885834e-08
"quick find", "worst_case 8.000", 4, 2.1445751190e-08
"union find", "worst_case 8.000", 4, 3.2711029053e-08
"quick find, microset", "worst_case 8.000", 4, 3.0303001404e-08
"union find, microset", "worst_case 8.000", 4, 2.9313564301e-08
"successor, 2-pass, microset", "worst_case 8.000", 4, 2.9754638672e-08
"successor, recursive", "worst_case 0.125", 8, 8.0108642578e-09
"successor, 2-pass", "worst_case 0.125", 8, 8.2254409790e-09
"successor, 2-pass, checked", "worst_case 0.125", 8, 9.1761350632e-09
"successor, halving", "worst_case 0.125", 8, 7.8320503235e-09
"quick find", "worst_case 0.125", 8, 1.2195110321e-08
"union find", "worst_case 0.125", 8, 1.4328956604e-08
"quick find, microset", "worst_case 0.125", 8, 1.0675191879e-08
"union find, microset", "worst_case 0.125", 8, 1.0564923286e-08
"successor, 2-pass, microset", "worst_case 0.125", 8, 1.0591745377e-08
"successor, recursive", "worst_case 0.250", 8, 1.1616945267e-08
"successor, 2-pass", "worst_case 0.250", 8, 1.0943412781e-08
"successor, 2-pass, checked", "worst_case 0.250", 8, 1.1736154556e-08
"successor, halving", "worst_case 0.250", 8, 9.8049640656e-09
"quick find", "worst_case 0.250", 8, 1.2898445129e-08
"union find", "worst_case 0.250", 8, 1.5747547150e-08
"quick find, microset", "worst_case 0.250", 8, 1.0377168655e-08
"union find, microset", "worst_case 0.250", 8, 1.0320544243e-08
"successor, 2-pass, microset", "worst_case 0.250", 8, 1.0073184967e-08
"successor, recursive", "worst_case 0.500", 8, 1.6105175018e-08
"successor, 2-pass", "worst_case 0.500", 8, 1.3804435730e-08
"successor, 2-pass, checked", "worst_case 0.500", 8, 1.4895200729e-08
"successor, halving", "worst_case 0.500", 8, 1.1080503464e-08
"quick find", "worst_case 0.500", 8, 1.4221668243e-08
"union find", "worst_case 0.500", 8, 1.7690658569e-08
"quick find, microset", "worst_case 0.500", 8, 1.2031197548e-08
"union find, microset", "worst_case 0.500", 8, 1.2236833572e-08
"successor, 2-pass, microset", "worst_case 0.500", 8, 1.1941790581e-08
"successor, recursive", "worst_case 1.000", 8, 2.2208690643e-08
"successor, 2-pass", "worst_case 1.000", 8, 1.8948316574e-08
"successor, 2-pass, checked", "worst_case 1.000", 8, 2.0217895508e-08
